code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101001326,null,101001326,303480,50
1,12,null,null,null,101002122,null,101002122,0,50
1,12,null,null,null,101000151,null,101000151,0,50
1,12,null,null,null,101000066,null,101000066,0,50
1,12,null,null,null,101000606,null,101000606,0,50
1,12,null,null,null,101001128,null,101001128,479552,50
1,12,null,null,null,101000895,null,101000895,707376,50
1,12,null,null,null,101000880,null,101000880,0,50
1,12,null,null,null,101000777,null,101000777,0,50
1,12,null,null,null,101001027,null,101001027,595032,50
1,12,null,null,null,101000906,null,101000906,0,50
1,12,null,null,null,101001044,null,101001044,0,50
1,12,null,null,null,101001252,null,101001252,0,50
1,12,null,null,null,101000279,null,101000279,0,50
1,12,null,null,null,101000742,null,101000742,0,50
1,12,null,null,null,101001181,null,101001181,718720,50
1,12,null,null,null,101000469,null,101000469,0,50
1,12,null,null,null,101000364,null,101000364,0,50
1,12,null,null,null,101002125,null,101002125,0,50
1,12,null,null,null,101001137,null,101001137,0,50
1,12,null,null,null,101000203,null,101000203,0,50
1,12,null,null,null,101001207,null,101001207,0,50
1,12,null,null,null,101001293,null,101001293,0,50
1,12,null,null,null,101001298,null,101001298,0,50
1,12,null,null,null,101000476,null,101000476,0,50
1,12,null,null,null,101000665,null,101000665,0,50
1,12,null,null,null,101001133,null,101001133,889716,50
1,12,null,null,null,101000164,null,101000164,0,50
1,12,null,null,null,101001314,null,101001314,0,50
1,12,null,null,null,101001996,null,101001996,1251000,50
1,12,null,null,null,101001209,null,101001209,1203948,50
1,12,null,null,null,101000722,null,101000722,290592,50
1,12,null,null,null,101001232,null,101001232,0,50
1,12,null,null,null,101000715,null,101000715,728196,50
1,12,null,null,null,101000867,null,101000867,0,50
1,12,null,null,null,101000443,null,101000443,0,50
1,12,null,null,null,101000828,null,101000828,0,50
1,12,null,null,null,101001049,null,101001049,0,50
1,12,null,null,null,101000375,null,101000375,651240,50
1,12,null,null,null,101001077,null,101001077,0,50
1,12,null,null,null,101000776,null,101000776,0,50
1,12,null,null,null,101002320,null,101002320,0,50
1,12,null,null,null,101000046,null,101000046,0,50
1,12,null,null,null,101001276,null,101001276,866952,50
1,12,null,null,null,101000542,null,101000542,0,50
1,12,null,null,null,101001305,null,101001305,0,50
1,12,null,null,null,101000555,null,101000555,0,50
1,12,null,null,null,101000589,null,101000589,0,50
1,12,null,null,null,101001066,null,101001066,0,50
1,12,null,null,null,101000938,null,101000938,0,50
1,12,null,null,null,101000709,null,101000709,0,50
1,12,null,null,null,101001213,null,101001213,1494304,50
1,12,null,null,null,101000950,null,101000950,1016848,50
1,12,null,null,null,101000462,null,101000462,0,50
1,12,null,null,null,101000435,null,101000435,350568,50
1,12,null,null,null,101001104,null,101001104,397524,50
1,12,null,null,null,101001119,null,101001119,0,50
1,12,null,null,null,101000094,null,101000094,0,50
1,12,null,null,null,101000798,null,101000798,0,50
1,12,null,null,null,101000663,null,101000663,0,50
1,12,null,null,null,101000169,null,101000169,0,50
1,12,null,null,null,101000728,null,101000728,666768,50
1,12,null,null,null,101000083,null,101000083,890640,50
1,12,null,null,null,101000696,null,101000696,279840,50
1,12,null,null,null,101000359,null,101000359,0,50
1,12,null,null,null,101000781,null,101000781,0,50
1,12,null,null,null,101000914,null,101000914,0,50
1,12,null,null,null,101000414,null,101000414,464424,50
1,12,null,null,null,101000590,null,101000590,0,50
1,12,null,null,null,101001850,null,101001850,0,50
1,12,null,null,null,101001100,null,101001100,0,50
1,12,null,null,null,101001440,null,101001440,765732,50
1,12,null,null,null,101000324,null,101000324,0,50
1,12,null,null,null,101000340,null,101000340,0,50
1,12,null,null,null,101000912,null,101000912,436332,50
1,12,null,null,null,101000554,null,101000554,358400,50
1,12,null,null,null,101000276,null,101000276,328044,50
1,12,null,null,null,101001311,null,101001311,0,50
1,12,null,null,null,101001324,null,101001324,877616,50
1,12,null,null,null,101000316,null,101000316,0,50
1,12,null,null,null,101000091,null,101000091,0,50
1,12,null,null,null,101000582,null,101000582,698244,50
1,12,null,null,null,101001103,null,101001103,0,50
1,12,null,null,null,101001896,null,101001896,498432,50
1,12,null,null,null,101000837,null,101000837,1138816,50
1,12,null,null,null,101000881,null,101000881,0,50
1,12,null,null,null,101000687,null,101000687,464160,50
1,12,null,null,null,101002166,null,101002166,383216,50
1,12,null,null,null,101000130,null,101000130,748976,50
1,12,null,null,null,101000868,null,101000868,196740,50
1,12,null,null,null,101000056,null,101000056,0,50
1,12,null,null,null,101000553,null,101000553,630012,50
1,12,null,null,null,101001296,null,101001296,356436,50
1,12,null,null,null,101001289,null,101001289,946128,50
1,12,null,null,null,101000474,null,101000474,0,50
1,12,null,null,null,101001334,null,101001334,967104,50
1,12,null,null,null,101002119,null,101002119,1218800,50
1,12,null,null,null,101001431,null,101001431,0,50
1,12,null,null,null,101001638,null,101001638,367404,50
1,12,null,null,null,101001815,null,101001815,690120,50
1,12,null,null,null,101001609,null,101001609,340080,50
1,12,null,null,null,101001374,null,101001374,0,50
1,12,null,null,null,101002092,null,101002092,0,50
1,12,null,null,null,101001620,null,101001620,0,50
1,12,null,null,null,101001666,null,101001666,886430,50
1,12,null,null,null,101002197,null,101002197,819696,50
1,12,null,null,null,101001446,null,101001446,0,50
1,12,null,null,null,101001421,null,101001421,0,50
1,12,null,null,null,101001639,null,101001639,741768,50
1,12,null,null,null,101001515,null,101001515,0,50
1,12,null,null,null,101002272,null,101002272,0,50
1,12,null,null,null,101001418,null,101001418,387456,50
1,12,null,null,null,101001990,null,101001990,0,50
1,12,null,null,null,101001813,null,101001813,482032,50
1,12,null,null,null,101001623,null,101001623,293124,50
1,12,null,null,null,101002161,null,101002161,872960,50
