code_objet,statut,num_quittance,code_contrat,echeance,datevaleur,datecreation,datecomptable,dateemission,montantpaye,montantEmis
1,2,70360001,1900000006,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,43588,43588
1,2,70360005,1900000001,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,705368,705368
1,2,70361004,1900000003,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,100290,100290
1,2,70362003,1900000004,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,85418,85418
1,2,70362005,1900000001,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,705368,705368
1,2,70363000,1900000007,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,0,0
1,2,70364001,1900000006,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,45114,45114
1,2,70364005,1900000001,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,705368,705368
1,2,70365004,1900000003,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,100290,100290
1,2,70366003,1900000004,31/07/2020,31/07/2020,31/07/2020,31/07/2020,31/07/2020,85418,85418
1,2,70366005,1900000001,31/07/2020,31/07/2020,31/07/2020,31/07/2020,31/07/2020,705368,705368
1,2,70367004,1900000003,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,100290,100290
1,2,70367005,1900000001,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,705368,705368
1,2,70369003,1900000004,31/10/2020,31/10/2020,31/10/2020,31/10/2020,31/10/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70369000,1900000007,31/10/2020,31/10/2020,31/10/2020,31/10/2020,31/10/2020,0,0
1,2,70370003,1900000004,30/11/2020,30/11/2020,30/11/2019,30/11/2020,30/11/2020,0,0
1,2,70370002,1900000005,30/11/2020,30/11/2020,30/11/2019,30/11/2020,30/11/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70371002,1900000005,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70420011,1890000053,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,67586,67586
1,2,70420010,1890000054,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,40002,40002
1,2,70420015,1890000049,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,27648,27648
1,2,70420006,1890000058,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,53960,53960
1,2,70421001,1890000066,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,76918,76918
1,2,70421005,1890000059,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,127010,127010
1,2,70421009,1890000055,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,44872,44872
1,2,70421006,1890000058,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,60778,60778
1,2,70420013,1890000051,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,79512,79512
1,2,70422002,1890000062,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,66528,66528
1,2,70422009,1890000055,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,44872,44872
1,2,70420035,1890000026,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,26620,26620
1,2,70420030,1890000031,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,40276,40276
1,2,70423011,1890000053,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,71704,71704
1,2,70421007,1890000057,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,54936,54936
1,2,70420034,1890000027,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,27648,27648
1,2,70423009,1890000055,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,44872,44872
1,2,70420032,1890000029,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,58964,58964
1,2,70421013,1890000051,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,85214,85214
1,2,70420022,1890000040,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,159374,159374
1,2,70420021,1890000042,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,0,0
1,2,70421018,1890000046,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,46434,46434
1,2,70420024,1890000037,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,237526,237526
1,2,70420036,1890000025,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,28722,28722
1,2,70421020,1890000043,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,43702,43702
1,2,70421023,1890000039,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,36464,36464
1,2,70423005,1890000059,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,127010,127010
1,2,70420057,1890000003,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,161656,161656
1,2,70421032,1890000029,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,61390,61390
1,2,70420054,1890000006,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,0,0
1,2,70420049,1890000012,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,34504,34504
1,2,70421037,1890000024,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,46778,46778
1,2,70420053,1890000007,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,83172,83172
1,2,70424014,1890000050,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,37910,37910
1,2,70420041,1890000020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,76408,76408
1,2,70360003,1900000004,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,81350,81350
1,2,70361003,1900000004,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,85418,85418
1,2,70361000,1900000007,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,225728,225728
1,2,70361002,1900000005,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,43460,43460
1,2,70363001,1900000006,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,0,0
1,2,70363004,1900000003,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,0,0
1,2,70364003,1900000004,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,85418,85418
1,2,70365001,1900000006,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,45114,45114
1,2,70365000,1900000007,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,225728,225728
1,2,70365002,1900000005,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,43460,43460
1,2,70367001,1900000006,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,45114,45114
1,2,70367000,1900000007,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,225728,225728
1,2,70367002,1900000005,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,43460,43460
1,2,70369001,1900000006,31/10/2020,31/10/2020,31/10/2020,31/10/2020,31/10/2020,0,0
1,2,70368005,1900000001,30/09/2020,30/09/2020,30/09/2020,30/09/2020,30/09/2020,705368,705368
1,2,70370004,1900000003,30/11/2020,30/11/2020,30/11/2019,30/11/2020,30/11/2020,0,0
1,2,70369005,1900000001,31/10/2020,31/10/2020,31/10/2020,31/10/2020,31/10/2020,0,0
1,2,70370005,1900000001,30/11/2020,30/11/2020,30/11/2019,30/11/2020,30/11/2020,0,0
1,2,70420016,1890000048,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,28878,28878
1,2,70420002,1890000062,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,63474,63474
1,2,70420012,1890000052,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,40950,40950
1,2,70421011,1890000053,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,71704,71704
1,2,70421002,1890000062,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,66528,66528
1,2,70421003,1890000061,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,67982,67982
1,2,70422011,1890000053,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,71704,71704
1,2,70421008,1890000056,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,84762,84762
1,2,70421017,1890000047,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,38636,38636
1,2,70422003,1890000061,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,67982,67982
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70422014,1890000050,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,37910,37910
1,2,70420033,1890000028,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31744,31744
1,2,70420020,1890000043,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,39520,39520
1,2,70420025,1890000036,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,36138,36138
1,2,70422017,1890000047,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,38636,38636
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70423016,1890000048,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30322,30322
1,2,70420037,1890000024,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,42234,42234
1,2,70423015,1890000049,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,28808,28808
1,2,70421030,1890000031,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,42880,42880
1,2,70423008,1890000056,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,84762,84762
1,2,70421031,1890000030,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,86938,86938
1,2,70422007,1890000057,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,54936,54936
1,2,70421034,1890000027,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,29236,29236
1,2,70423006,1890000058,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,60778,60778
1,2,70421000,1890000067,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,555842,555842
1,2,70423012,1890000052,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,43070,43070
1,2,70421022,1890000040,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,168694,168694
1,2,70424009,1890000055,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,44872,44872
1,2,70420042,1890000019,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,105322,105322
1,2,70420055,1890000005,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,49736,49736
1,2,70421019,1890000044,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,56362,56362
1,2,70425011,1890000053,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,71704,71704
1,2,70421021,1890000042,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,344048,344048
1,2,70423004,1890000060,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,200136,200136
1,2,70424003,1890000061,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,67982,67982
1,2,70360000,1900000007,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70361001,1900000006,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,45114,45114
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70131000,2040000002,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70361005,1900000001,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,705368,705368
1,2,70362004,1900000003,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,100290,100290
1,2,70362002,1900000005,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,43460,43460
1,2,70363005,1900000001,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,0,0
1,2,70364000,1900000007,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,225728,225728
1,2,70364002,1900000005,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,43460,43460
1,2,70365005,1900000001,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,705368,705368
1,2,70366004,1900000003,31/07/2020,31/07/2020,31/07/2020,31/07/2020,31/07/2020,100290,100290
1,2,70367003,1900000004,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,85418,85418
1,2,70368001,1900000006,30/09/2020,30/09/2020,30/09/2020,30/09/2020,30/09/2020,45114,45114
1,2,70368004,1900000003,30/09/2020,30/09/2020,30/09/2020,30/09/2020,30/09/2020,100290,100290
1,2,70368002,1900000005,30/09/2020,30/09/2020,30/09/2020,30/09/2020,30/09/2020,43460,43460
1,2,70370001,1900000006,30/11/2020,30/11/2020,30/11/2019,30/11/2020,30/11/2020,0,0
1,2,70370000,1900000007,30/11/2020,30/11/2020,30/11/2019,30/11/2020,30/11/2020,0,0
1,2,70371003,1900000004,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70371004,1900000003,31/12/2020,31/12/2020,31/12/2020,31/12/2020,31/12/2020,0,0
1,2,70420009,1890000055,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,43000,43000
1,2,70420001,1890000066,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,72298,72298
1,2,70420014,1890000050,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,36150,36150
1,2,70420004,1890000060,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,192142,192142
1,2,70421016,1890000048,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,30322,30322
1,2,70421010,1890000054,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,41862,41862
1,2,70420007,1890000057,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,52798,52798
1,2,70421004,1890000060,28/02/2020,28/02/2020,28/02/2020,28/02/2020,28/02/2020,200136,200136
1,2,70420018,1890000046,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,42866,42866
1,2,70422015,1890000049,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,28808,28808
1,2,70422005,1890000059,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,127010,127010
1,2,70420000,1890000067,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,534464,534464
1,2,70420023,1890000039,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,35050,35050
1,2,70420031,1890000030,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,84666,84666
1,2,70423001,1890000066,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,76918,76918
1,2,70420028,1890000033,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,80316,80316
1,2,70422004,1890000060,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,200136,200136
1,2,70420026,1890000035,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,70542,70542
1,2,70423014,1890000050,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,37910,37910
1,2,70424011,1890000053,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2019,71704,71704
