code_objet;statut;num_quittance;code_contrat;echeance;datevaleur;datecreation;datecomptable;dateemission;montantpaye;montantEmis
1;2;71741890;101001311;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740923;101000938;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741978;101000164;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741923;101000938;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740904;101001137;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741975;101000276;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;54674;54674
1;2;71740903;101001181;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;89840;89840
1;2;71740894;101001294;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;48572;48572
1;2;71741932;101000867;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741935;101000798;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740955;101000555;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740891;101001305;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740943;101000715;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;121366;121366
1;2;71741906;101001128;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;59944;59944
1;2;71740948;101000668;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;87360;87360
1;2;71741924;101000929;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740890;101001311;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740956;101000554;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;44800;44800
1;2;71740986;101000046;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741930;101000880;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740966;101000414;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;77404;77404
1;2;71740906;101001128;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;59944;59944
1;2;71741963;101000462;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740941;101000728;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;83346;83346
1;2;71740914;101001068;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;59218;59218
1;2;71741941;101000728;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;83346;83346
1;2;71740912;101001084;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;149040;149040
1;2;71740927;101000906;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740930;101000880;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740889;101001314;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740916;101001049;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740892;101001298;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740908;101001104;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;66254;66254
1;2;71740980;101000130;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;93622;93622
1;2;71740932;101000867;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740963;101000462;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740929;101000881;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740924;101000929;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741955;101000555;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740975;101000276;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;54674;54674
1;2;71741960;101000474;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740954;101000582;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;116374;116374
1;2;71740946;101000696;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;46640;46640
1;2;71740901;101001209;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;200658;200658
1;2;71741927;101000906;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740898;101001252;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740935;101000798;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740976;101000203;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740959;101000476;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740909;101001103;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740907;101001119;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740964;101000443;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740961;101000473;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;26034;26034
1;2;71741903;101001181;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;89840;89840
1;2;71740978;101000164;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740902;101001207;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740911;101001096;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740893;101001296;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;59406;59406
1;2;71740918;101001027;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740951;101000606;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741929;101000881;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741904;101001137;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71740919;101001010;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741907;101001119;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741918;101001027;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741912;101001084;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;149040;149040
1;2;71741956;101000554;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;44800;44800
1;2;71741959;101000476;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741894;101001294;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;48572;48572
1;2;71742935;101000798;31/03/2020;31/03/2020;31/03/2020;31/03/2020;31/03/2020;0;0
1;2;71741946;101000696;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;46640;46640
1;2;71742923;101000938;31/03/2020;31/03/2020;31/03/2020;31/03/2020;31/03/2020;0;0
1;2;71742932;101000867;31/03/2020;31/03/2020;31/03/2020;31/03/2020;31/03/2020;0;0
1;2;71740940;101000742;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740905;101001133;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;148286;148286
1;2;71742924;101000929;31/03/2020;31/03/2020;31/03/2020;31/03/2020;31/03/2020;0;0
1;2;71740945;101000705;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;46990;46990
1;2;71741971;101000325;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741919;101001010;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741893;101001296;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;59406;59406
1;2;71740899;101001232;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71740984;101000066;31/01/2020;31/01/2020;31/01/2020;31/01/2020;31/01/2020;0;0
1;2;71741908;101001104;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;66254;66254
1;2;71741976;101000203;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
1;2;71741891;101001305;28/02/2020;28/02/2020;28/02/2020;28/02/2020;28/02/2020;0;0
