CODE_OBJET,ID_STATUTQUIT,NUM_QUITTANCE,CODE_CONTRAT,ECHEANCE,DATE_VALEUR,DATE_CREATION,DATE_COMPTABLE,DATE_EMISSION,MONTANT_PAYE,MONTANT_EMIS
1,2,70000177,101000083,30/11/2020,30/11/2020,30/11/2020,30/11/2020,30/11/2020,148440,148440
1,2,70000178,101000083,31/10/2020,31/10/2020,31/10/2020,31/10/2020,31/10/2020,148440,148440
1,2,70000179,101000083,30/09/2020,30/09/2020,30/09/2020,30/09/2020,30/09/2020,148440,148440
1,2,70000180,101000083,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,148440,148440
1,2,70000181,101000083,31/07/2020,31/07/2020,31/07/2020,31/07/2020,31/07/2020,148440,148440
1,2,70000182,101000083,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,148440,148440
1,2,70000183,101000083,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2020,148440,148440
1,2,70000184,101000083,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,148440,148440
1,2,70000185,101000083,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,148440,148440
1,2,70000186,101000083,29/02/2020,29/02/2020,29/02/2020,29/02/2020,29/02/2020,148440,148440
1,2,70000187,101000083,31/01/2020,31/01/2020,31/01/2020,31/01/2020,31/01/2020,148440,148440
1,2,70000188,101000130,30/11/2020,30/11/2020,30/11/2020,30/11/2020,30/11/2020,93622,93622
1,2,70000189,101000130,31/10/2020,31/10/2020,31/10/2020,31/10/2020,31/10/2020,93622,93622
1,2,70000190,101000130,30/09/2020,30/09/2020,30/09/2020,30/09/2020,30/09/2020,93622,93622
1,2,70000191,101000130,31/08/2020,31/08/2020,31/08/2020,31/08/2020,31/08/2020,93622,93622
1,2,70000192,101000130,31/07/2020,31/07/2020,31/07/2020,31/07/2020,31/07/2020,93622,93622
1,2,70000193,101000130,30/06/2020,30/06/2020,30/06/2020,30/06/2020,30/06/2020,93622,93622
1,2,70000194,101000130,31/05/2020,31/05/2020,31/05/2020,31/05/2020,31/05/2020,93622,93622
1,2,70000195,101000130,30/04/2020,30/04/2020,30/04/2020,30/04/2020,30/04/2020,93622,93622
1,2,70000196,101000130,31/03/2020,31/03/2020,31/03/2020,31/03/2020,31/03/2020,93622,93622
