code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101000542,null,101000542,0,50
1,12,null,null,null,101001044,null,101001044,0,50
1,12,null,null,null,101001294,null,101001294,291432,50
1,12,null,null,null,101001324,null,101001324,1323144,50
1,12,null,null,null,101000798,null,101000798,0,50
1,12,null,null,null,101001207,null,101001207,0,50
1,12,null,null,null,101001104,null,101001104,397524,50
1,12,null,null,null,101000938,null,101000938,0,50
1,12,null,null,null,101000316,null,101000316,0,50
1,12,null,null,null,101001096,null,101001096,0,50
1,12,null,null,null,101000794,null,101000794,549156,50
1,12,null,null,null,101000895,null,101000895,707376,50
1,12,null,null,null,101000715,null,101000715,728196,50
1,12,null,null,null,101000777,null,101000777,0,50
1,12,null,null,null,101001181,null,101001181,1084800,50
1,12,null,null,null,101000325,null,101000325,0,50
1,12,null,null,null,101000951,null,101000951,0,50
1,12,null,null,null,101000880,null,101000880,0,50
1,12,null,null,null,101000340,null,101000340,0,50
1,12,null,null,null,101000414,null,101000414,464424,50
1,12,null,null,null,101001128,null,101001128,727962,50
1,12,null,null,null,101000687,null,101000687,464160,50
1,12,null,null,null,101001252,null,101001252,0,50
1,12,null,null,null,101000375,null,101000375,1049064,50
1,12,null,null,null,101000696,null,101000696,279840,50
1,12,null,null,null,101000473,null,101000473,156204,50
1,12,null,null,null,101000435,null,101000435,350568,50
1,12,null,null,null,101000130,null,101000130,1130184,50
1,12,null,null,null,101001289,null,101001289,1427352,50
1,12,null,null,null,101000469,null,101000469,0,50
1,12,null,null,null,101001298,null,101001298,0,50
1,12,null,null,null,101001077,null,101001077,0,50
1,12,null,null,null,101000929,null,101000929,0,50
1,12,null,null,null,101000083,null,101000083,890640,50
1,12,null,null,null,101000276,null,101000276,328044,50
1,12,null,null,null,101001276,null,101001276,866952,50
1,12,null,null,null,101001668,null,101001668,0,50
1,12,null,null,null,101000705,null,101000705,570600,50
1,12,null,null,null,101000950,null,101000950,1551960,50
1,12,null,null,null,101002364,null,101002364,0,50
1,12,null,null,null,101000868,null,101000868,196740,50
1,12,null,null,null,101001305,null,101001305,0,50
1,12,null,null,null,101000462,null,101000462,0,50
1,12,null,null,null,101000476,null,101000476,0,50
1,12,null,null,null,101000722,null,101000722,290592,50
