aout,avril,code_contrat,code_produit,dec,fev,janv,juillet,juin,mai,mars,nov,oct,sept,societe,typeContrat
0,0,101000164,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001119,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001207,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000798,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,66254,101001104,50,0,66254,66254,0,66254,66254,66254,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,117896,101000895,50,0,117896,117896,0,117896,117896,117896,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001044,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000542,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000880,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,121366,101000715,50,0,121366,121366,0,121366,121366,121366,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001252,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001096,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
59944,59944,101001128,50,62822,59944,59944,59944,59944,59944,59944,62822,62822,59944,ORANGECI,Retraite complementaire ORANGE
0,0,101000606,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,91526,101000794,50,0,91526,91526,0,91526,91526,91526,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000777,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,77360,101000687,50,0,77360,77360,0,77360,77360,77360,0,0,0,ORANGECI,Retraite complementaire ORANGE
89840,89840,101001181,50,92080,89840,89840,89840,89840,89840,89840,92080,92080,89840,ORANGECI,Retraite complementaire ORANGE
44800,44800,101000554,50,47040,44800,44800,44800,44800,44800,44800,47040,47040,44800,ORANGECI,Retraite complementaire ORANGE
0,0,101000203,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
93622,93622,101000130,50,95862,93622,93622,93622,93622,93622,93622,95862,95862,93622,ORANGECI,Retraite complementaire ORANGE
0,54674,101000276,50,0,54674,54674,0,54674,54674,54674,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000340,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001298,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000951,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,149040,101001084,50,0,149040,149040,0,149040,149040,149040,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000316,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,148440,101000083,50,0,148440,148440,0,148440,148440,148440,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,50580,101001326,50,0,50580,50580,0,50580,50580,50580,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001990,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001077,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,77404,101000414,50,0,77404,77404,0,77404,77404,77404,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000929,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
46990,46990,101000705,50,49230,46990,46990,46990,46990,46990,46990,49230,49230,46990,ORANGECI,Retraite complementaire ORANGE
118266,118266,101001289,50,120986,118266,118266,118266,118266,118266,118266,120986,120986,118266,ORANGECI,Retraite complementaire ORANGE
0,0,101000709,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,58428,101000435,50,0,58428,58428,0,58428,58428,58428,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,26034,101000473,50,0,26034,26034,0,26034,26034,26034,0,0,0,ORANGECI,Retraite complementaire ORANGE
127106,127106,101000950,50,136002,127106,127106,127106,127106,127106,127106,136002,136002,127106,ORANGECI,Retraite complementaire ORANGE
0,0,101001532,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001305,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,109212,101000947,50,0,109212,109212,0,109212,109212,109212,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000469,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000476,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000906,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001066,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101001376,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,144492,101001276,50,0,144492,144492,0,144492,144492,144492,0,0,0,ORANGECI,Retraite complementaire ORANGE
0,0,101000781,50,0,0,0,0,0,0,0,0,0,0,ORANGECI,Retraite complementaire ORANGE
