code_objet,statut,num_quittance,code_contrat,echeance,datevaleur,datecreation,datecomptable,dateemission,montantpaye,montantEmis
1,2,71740881,101000046,31/01/2022,31/01/2022,31/01/2022,31/01/2022,31/01/2022,0,0
1,2,71741881,101000046,28/02/2022,28/02/2022,28/02/2022,28/02/2022,28/02/2022,0,0
1,2,71742881,101000046,31/03/2022,31/03/2022,31/03/2022,31/03/2022,31/03/2022,0,0
1,2,71743881,101000046,30/04/2022,30/04/2022,30/04/2022,30/04/2022,30/04/2022,0,0
1,2,71744881,101000046,31/05/2022,31/05/2022,31/05/2022,31/05/2022,31/05/2022,0,0
1,2,71745881,101000046,30/06/2022,30/06/2022,30/06/2022,30/06/2022,30/06/2022,0,0
1,2,71746881,101000046,31/07/2022,31/07/2022,31/07/2022,31/07/2022,31/07/2022,0,0
1,2,71747881,101000046,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,0,0
1,2,71748881,101000046,30/09/2022,30/09/2022,30/09/2022,30/09/2022,30/09/2022,0,0
1,2,71749881,101000046,31/10/2022,31/10/2022,31/10/2022,31/10/2022,31/10/2022,0,0
1,2,71750881,101000046,30/11/2022,30/11/2022,30/11/2022,30/11/2022,30/11/2022,0,0
1,2,71751881,101000046,31/12/2022,31/12/2022,31/12/2022,31/12/2022,31/12/2022,0,0
1,2,71740880,101000056,31/01/2022,31/01/2022,31/01/2022,31/01/2022,31/01/2022,0,0
1,2,71741880,101000056,28/02/2022,28/02/2022,28/02/2022,28/02/2022,28/02/2022,0,0
1,2,71742880,101000056,31/03/2022,31/03/2022,31/03/2022,31/03/2022,31/03/2022,0,0
1,2,71743880,101000056,30/04/2022,30/04/2022,30/04/2022,30/04/2022,30/04/2022,0,0
1,2,71744880,101000056,31/05/2022,31/05/2022,31/05/2022,31/05/2022,31/05/2022,0,0
1,2,71745880,101000056,30/06/2022,30/06/2022,30/06/2022,30/06/2022,30/06/2022,0,0
1,2,71746880,101000056,31/07/2022,31/07/2022,31/07/2022,31/07/2022,31/07/2022,0,0
1,2,71747880,101000056,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,0,0
1,2,71748880,101000056,30/09/2022,30/09/2022,30/09/2022,30/09/2022,30/09/2022,0,0
1,2,71749880,101000056,31/10/2022,31/10/2022,31/10/2022,31/10/2022,31/10/2022,0,0
1,2,71750880,101000056,30/11/2022,30/11/2022,30/11/2022,30/11/2022,30/11/2022,0,0
1,2,71751880,101000056,31/12/2022,31/12/2022,31/12/2022,31/12/2022,31/12/2022,0,0
1,2,71740879,101000066,31/01/2022,31/01/2022,31/01/2022,31/01/2022,31/01/2022,0,0
1,2,71741879,101000066,28/02/2022,28/02/2022,28/02/2022,28/02/2022,28/02/2022,0,0
1,2,71742879,101000066,31/03/2022,31/03/2022,31/03/2022,31/03/2022,31/03/2022,0,0
1,2,71743879,101000066,30/04/2022,30/04/2022,30/04/2022,30/04/2022,30/04/2022,0,0
1,2,71744879,101000066,31/05/2022,31/05/2022,31/05/2022,31/05/2022,31/05/2022,0,0
1,2,71745879,101000066,30/06/2022,30/06/2022,30/06/2022,30/06/2022,30/06/2022,0,0
1,2,71746879,101000066,31/07/2022,31/07/2022,31/07/2022,31/07/2022,31/07/2022,0,0
1,2,71747879,101000066,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,0,0
1,2,71748879,101000066,30/09/2022,30/09/2022,30/09/2022,30/09/2022,30/09/2022,0,0
1,2,71749879,101000066,31/10/2022,31/10/2022,31/10/2022,31/10/2022,31/10/2022,0,0
1,2,71750879,101000066,30/11/2022,30/11/2022,30/11/2022,30/11/2022,30/11/2022,0,0
1,2,71751879,101000066,31/12/2022,31/12/2022,31/12/2022,31/12/2022,31/12/2022,0,0
1,2,71740878,101000091,31/01/2022,31/01/2022,31/01/2022,31/01/2022,31/01/2022,0,0
1,2,71741878,101000091,28/02/2022,28/02/2022,28/02/2022,28/02/2022,28/02/2022,0,0
1,2,71742878,101000091,31/03/2022,31/03/2022,31/03/2022,31/03/2022,31/03/2022,0,0
1,2,71743878,101000091,30/04/2022,30/04/2022,30/04/2022,30/04/2022,30/04/2022,0,0
