code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101000798,null,101000798,0,50
1,12,null,null,null,101000867,null,101000867,0,50
1,12,null,null,null,101001421,null,101001421,0,50
1,12,null,null,null,101001668,null,101001668,0,50
1,12,null,null,null,101001010,null,101001010,0,50
1,12,null,null,null,101000316,null,101000316,0,50
1,12,null,null,null,101000828,null,101000828,0,50
1,12,null,null,null,101001681,null,101001681,282336,50
1,12,null,null,null,101001620,null,101001620,0,50
1,12,null,null,null,101001334,null,101001334,371004,50
1,12,null,null,null,101001103,null,101001103,0,50
1,12,null,null,null,101001800,null,101001800,0,50
1,12,null,null,null,101000668,null,101000668,288282,50
1,12,null,null,null,101001293,null,101001293,0,50
1,12,null,null,null,101001495,null,101001495,1446522,50
1,12,null,null,null,101001100,null,101001100,0,50
1,12,null,null,null,101001881,null,101001881,0,50
1,12,null,null,null,101001119,null,101001119,0,50
1,12,null,null,null,101001353,null,101001353,0,50
1,12,null,null,null,101001693,null,101001693,0,50
1,12,null,null,null,101000151,null,101000151,0,50
1,12,null,null,null,101001289,null,101001289,362958,50
1,12,null,null,null,101001128,null,101001128,188466,50
1,12,null,null,null,101000837,null,101000837,456948,50
1,12,null,null,null,101001813,null,101001813,189438,50
1,12,null,null,null,101000881,null,101000881,0,50
1,12,null,null,null,101000742,null,101000742,0,50
1,12,null,null,null,101000665,null,101000665,0,50
1,12,null,null,null,101001525,null,101001525,0,50
1,12,null,null,null,101001374,null,101001374,0,50
1,12,null,null,null,101001137,null,101001137,0,50
1,12,null,null,null,101001850,null,101001850,0,50
1,12,null,null,null,101001558,null,101001558,0,50
1,12,null,null,null,101002513,null,101002513,788532,50
1,12,null,null,null,101002918,null,101002918,333660,50
1,12,null,null,null,101002938,null,101002938,182556,50
1,12,null,null,null,101002902,null,101002902,314310,50
1,12,null,null,null,101002928,null,101002928,485250,50
1,12,null,null,null,101002346,null,101002346,0,50
1,12,null,null,null,101002941,null,101002941,0,50
1,12,null,null,null,101002778,null,101002778,381990,50
1,12,null,null,null,101002007,null,101002007,0,50
1,12,null,null,null,101001647,null,101001647,401964,50
1,12,null,null,null,101002027,null,101002027,0,50
1,12,null,null,null,101001446,null,101001446,0,50
1,12,null,null,null,101001990,null,101001990,0,50
1,12,null,null,null,101002935,null,101002935,195300,50
1,12,null,null,null,101002950,null,101002950,404352,50
1,12,null,null,null,101001444,null,101001444,322908,50
1,12,null,null,null,101002895,null,101002895,251988,50
1,12,null,null,null,101000435,null,101000435,0,50
1,12,null,null,null,101001929,null,101001929,0,50
1,12,null,null,null,101002813,null,101002813,0,50
1,12,null,null,null,101002945,null,101002945,0,50
1,12,null,null,null,101002996,null,101002996,113766,50
1,12,null,null,null,101002962,null,101002962,179382,50
1,12,null,null,null,101002366,null,101002366,0,50
1,12,null,null,null,101002302,null,101002302,0,50
1,12,null,null,null,101000094,null,101000094,0,50
1,12,null,null,null,101002272,null,101002272,0,50
1,12,null,null,null,101002552,null,101002552,0,50
1,12,null,null,null,101001181,null,101001181,276240,50
1,12,null,null,null,101002896,null,101002896,237414,50
1,12,null,null,null,101002204,null,101002204,349302,50
1,12,null,null,null,101002879,null,101002879,189156,50
1,12,null,null,null,101002803,null,101002803,0,50
1,12,null,null,null,101000091,null,101000091,0,50
1,12,null,null,null,101001207,null,101001207,0,50
1,12,null,null,null,101000705,null,101000705,147690,50
1,12,null,null,null,101002208,null,101002208,166770,50
1,12,null,null,null,101000542,null,101000542,0,50
1,12,null,null,null,101002881,null,101002881,261678,50
1,12,null,null,null,101001471,null,101001471,0,50
1,12,null,null,null,101000590,null,101000590,0,50
1,12,null,null,null,101000554,null,101000554,141120,50
1,12,null,null,null,101002856,null,101002856,371250,50
1,12,null,null,null,101002036,null,101002036,270204,50
1,12,null,null,null,101002799,null,101002799,286968,50
1,12,null,null,null,101001049,null,101001049,0,50
1,12,null,null,null,101000781,null,101000781,0,50
1,12,null,null,null,101001729,null,101001729,383670,50
1,12,null,null,null,101000880,null,101000880,0,50
1,12,null,null,null,101000169,null,101000169,0,50
1,12,null,null,null,101002923,null,101002923,339720,50
1,12,null,null,null,101002122,null,101002122,0,50
1,12,null,null,null,101002320,null,101002320,0,50
1,12,null,null,null,101002830,null,101002830,726558,50
1,12,null,null,null,101002857,null,101002857,251148,50
1,12,null,null,null,101002854,null,101002854,418512,50
1,12,null,null,null,101001598,null,101001598,0,50
1,12,null,null,null,101002166,null,101002166,160426,50
1,12,null,null,null,101000709,null,101000709,0,50
1,12,null,null,null,101002364,null,101002364,0,50
1,12,null,null,null,101001314,null,101001314,0,50
1,12,null,null,null,101002742,null,101002742,0,50
1,12,null,null,null,101002970,null,101002970,335046,50
1,12,null,null,null,101000164,null,101000164,0,50
1,12,null,null,null,101001586,null,101001586,0,50
1,12,null,null,null,101000340,null,101000340,0,50
1,12,null,null,null,101001902,null,101001902,0,50
1,12,null,null,null,101000325,null,101000325,0,50
1,12,null,null,null,101002783,null,101002783,0,50
1,12,null,null,null,101002482,null,101002482,0,50
1,12,null,null,null,101002827,null,101002827,0,50
1,12,null,null,null,101002903,null,101002903,355848,50
1,12,null,null,null,101003169,null,101003169,206064,50
1,12,null,null,null,101003022,null,101003022,294720,50
1,12,null,null,null,101003171,null,101003171,265292,50
1,12,null,null,null,101003162,null,101003162,201840,50
1,12,null,null,null,101002899,null,101002899,235788,50
1,12,null,null,null,101003167,null,101003167,0,50
1,12,null,null,null,101002119,null,101002119,466476,50
1,12,null,null,null,101003170,null,101003170,285966,50
1,12,null,null,null,101003009,null,101003009,255324,50
1,12,null,null,null,101003108,null,101003108,0,50
1,12,null,null,null,101003160,null,101003160,216258,50
1,12,null,null,null,101003111,null,101003111,278436,50
1,12,null,null,null,101003146,null,101003146,0,50
1,12,null,null,null,101003095,null,101003095,108510,50
1,12,null,null,null,101003010,null,101003010,540000,50
1,12,null,null,null,101003043,null,101003043,0,50
1,12,null,null,null,101003071,null,101003071,493224,50
1,12,null,null,null,101003156,null,101003156,161316,50
1,12,null,null,null,101003127,null,101003127,242706,50
1,12,null,null,null,101003193,null,101003193,141930,50
1,12,null,null,null,101003212,null,101003212,142128,50
1,12,null,null,null,101003119,null,101003119,456000,50
1,12,null,null,null,101003230,null,101003230,258720,50
1,12,null,null,null,101003112,null,101003112,125850,50
1,12,null,null,null,101003328,null,101003328,296856,50
1,12,null,null,null,101003192,null,101003192,238734,50
1,12,null,null,null,101003305,null,101003305,157296,50
1,12,null,null,null,101003205,null,101003205,223092,50
1,12,null,null,null,101003064,null,101003064,286092,50
